ano,sigla_uf,id_municipio,id_escola,rede,tipo_localizacao,tipo_situacao_funcionamento,agua_potavel,energia_rede_publica,esgoto_rede_publica,biblioteca,sala_leitura,laboratorio_informatica,internet,internet_alunos,desktop_aluno,computador_portatil_aluno,tablet_aluno,quantidade_sala_utilizada,sala_atendimento_especial
2024,SC,4202909,42080681,3,1,1,1,1,0,0,1,1,1,1,1,1,0,10,1
2024,SC,4202909,42126983,3,1,1,1,1,1,1,1,1,1,1,1,1,0,11,1
2024,MA,2103000,21271470,3,1,1,1,0,0,0,1,0,1,0,0,0,0,9,0
2024,RJ,3300704,33027641,3,1,1,1,1,1,1,1,1,1,0,1,1,1,18,1
2024,RJ,3304557,33070865,3,1,1,1,1,1,0,1,1,1,1,1,1,0,23,1
2024,RJ,3304557,33072949,3,1,1,1,1,1,0,1,1,1,1,0,0,1,10,1
2024,SP,3523107,35130692,3,1,1,1,1,1,0,0,0,1,0,0,0,0,12,0
2024,MG,3118304,31193569,3,1,1,1,1,1,1,0,0,1,0,0,0,1,13,1
2024,BA,2927408,29195527,3,1,1,1,1,1,1,0,0,1,0,0,1,1,9,0
2024,SP,3534401,35083094,3,1,1,1,1,1,0,1,1,1,1,1,1,1,11,1
2024,SP,3549102,35222902,3,1,1,1,1,1,0,1,1,1,1,1,1,1,14,1
2024,MG,3154309,31044857,3,1,1,1,1,1,1,0,0,1,0,0,1,0,13,0
2024,MG,3167202,31233315,3,1,1,1,1,1,1,0,1,1,0,0,1,0,10,0
2024,SP,3530607,35203531,3,1,1,1,1,1,1,0,0,1,1,0,1,1,11,0
2024,SP,3534302,35280148,3,1,1,1,1,1,1,0,1,1,0,1,0,1,12,1
2024,BA,2927408,29192072,3,1,1,1,1,1,0,0,0,1,1,0,1,1,9,1
2024,BA,2927408,29193508,3,1,1,1,1,1,0,0,0,1,0,0,1,0,9,0
2024,BA,2927408,29193745,3,1,1,1,1,1,1,0,0,1,1,0,1,1,17,1
2024,MG,3151800,31124915,3,1,1,1,1,1,1,0,1,1,1,1,1,1,12,1
2024,BA,2930501,29147298,3,1,1,1,1,1,0,1,0,1,0,1,0,0,9,1
2024,SP,3552205,35204250,3,1,1,1,1,1,0,1,0,1,1,0,0,1,19,0
2024,MG,3148103,31199001,3,1,1,1,1,1,1,1,0,1,1,1,1,1,11,0
2024,BA,2928703,29172560,3,1,1,1,1,1,1,0,0,1,0,0,1,0,11,1
2024,SP,3546801,35416514,3,1,1,1,1,1,1,0,0,1,1,0,0,0,14,0
2024,SP,3550308,35053454,3,1,1,1,1,1,0,1,1,1,0,1,0,1,14,1
2024,SP,3550308,35078759,3,1,1,1,1,1,0,1,1,1,0,0,1,1,11,1
2024,SP,3550308,35053533,3,1,1,1,1,1,0,1,1,1,0,1,0,0,9,0
2024,BA,2931004,29264960,3,1,1,1,1,1,0,1,1,1,1,1,0,0,10,1
2024,SP,3535507,35217839,3,1,1,1,1,1,0,1,1,1,1,1,0,0,13,1
2024,SP,3541901,35215557,3,1,1,1,1,1,0,0,0,1,1,1,0,0,12,1
2024,SP,3543907,35267348,3,1,1,1,1,1,0,1,1,1,1,1,0,0,14,0
2024,SP,3550407,35226440,3,1,1,1,1,1,1,1,1,1,1,1,0,0,10,1
2024,MA,2102903,21067279,3,1,1,1,1,0,0,0,1,1,1,1,0,0,9,1
2024,RS,4307708,43060323,3,1,1,1,1,1,1,0,1,1,1,1,1,0,13,1
2024,PE,2603454,26107708,3,1,1,1,1,1,0,0,0,1,0,0,0,0,9,0
2024,PE,2607208,26132704,3,1,1,1,1,1,0,1,0,1,0,0,0,0,17,1
2024,PE,2611606,26119641,3,1,1,1,1,1,1,1,0,1,1,0,1,1,9,1
